Station Name,NaPTAN ID,Hub NaPTAN,Lines
Clapham Common,['940GZZLUCPC'],['N/A'],['Northern']
Clapham High Street,['910GCLPHHS'],['N/A'],['London Overground']
Clapham Junction,"['910GCLPHMJC', '910GCLPHMJ1']",['HUBCLJ'],['London Overground']
Clapham North,['940GZZLUCPN'],['N/A'],['Northern']
Clapham South,['940GZZLUCPS'],['N/A'],['Northern']
Clapton,['910GCLAPTON'],['N/A'],['London Overground']
Cockfosters,['940GZZLUCKS'],['N/A'],['Piccadilly']
Colindale,['940GZZLUCND'],['N/A'],['Northern']
Colliers Wood,['940GZZLUCSD'],['N/A'],['Northern']
Coombe Lane,['940GZZCRCOO'],['N/A'],['Tram']
Covent Garden,['940GZZLUCGN'],['N/A'],['Piccadilly']
Crossharbour,['940GZZDLCLA'],['N/A'],['DLR']
Crouch Hill,['910GCROUCHH'],['N/A'],['London Overground']
Croxley,['940GZZLUCXY'],['N/A'],['Metropolitan']
Crystal Palace,['910GCRYSTLP'],['HUBCYP'],['London Overground']
Custom House,['910GCSTMHSXR'],['HUBCUS'],"['Elizabeth line', 'DLR']"
Custom House for ExCeL,['940GZZDLCUS'],['HUBCUS'],"['Elizabeth line', 'DLR']"
Cutty Sark (for Maritime Greenwich),['940GZZDLCUT'],['HUBCUT'],['DLR']
Cyprus,['940GZZDLCYP'],['N/A'],['DLR']
Dagenham East,['940GZZLUDGE'],['N/A'],['District']
Dagenham Heathway,['940GZZLUDGY'],['N/A'],['District']
Dalston Junction,['910GDALS'],['N/A'],['London Overground']
Dalston Kingsland,['910GDALSKLD'],['N/A'],['London Overground']
Debden,['940GZZLUDBN'],['N/A'],['Central']
Denmark Hill,['910GDENMRKH'],['N/A'],['London Overground']
Deptford Bridge,['940GZZDLDEP'],['N/A'],['DLR']
Devons Road,['940GZZDLDEV'],['N/A'],['DLR']
Dollis Hill,['940GZZLUDOH'],['N/A'],['Jubilee']
Dundonald Road,['940GZZCRDDR'],['N/A'],['Tram']
Ealing Broadway,"['940GZZLUEBY', '910GEALINGB']",['HUBEAL'],"['District', 'Central', 'Elizabeth line']"
Ealing Common,['940GZZLUECM'],['N/A'],"['District', 'Piccadilly']"
Earl's Court,['940GZZLUECT'],['N/A'],"['District', 'Piccadilly']"
East Acton,['940GZZLUEAN'],['N/A'],['Central']
East Croydon,['940GZZCRECR'],['HUBECY'],['Tram']
East Finchley,['940GZZLUEFY'],['N/A'],['Northern']
East Ham,['940GZZLUEHM'],['N/A'],"['District', 'Hammersmith & City']"
East India,['940GZZDLEIN'],['N/A'],['DLR']
East Putney,['940GZZLUEPY'],['N/A'],['District']
Eastcote,['940GZZLUEAE'],['N/A'],"['Piccadilly', 'Metropolitan']"
Edgware,['940GZZLUEGW'],['N/A'],['Northern']
Edgware Road,"['940GZZLUERB', '940GZZLUERC']",['N/A'],"['District', 'Circle', 'Hammersmith & City', 'Bakerloo']"
Edmonton Green,['910GEDMNGRN'],['N/A'],['London Overground']
Elephant & Castle,['940GZZLUEAC'],['HUBEPH'],"['Northern', 'Bakerloo']"
Elm Park,['940GZZLUEPK'],['N/A'],['District']
Elmers End,['940GZZCRELM'],['HUBELM'],['Tram']
Elverson Road,['940GZZDLELV'],['N/A'],['DLR']
Embankment,['940GZZLUEMB'],['N/A'],"['District', 'Circle', 'Northern', 'Bakerloo']"
Emerson Park,['910GEMRSPKH'],['N/A'],['London Overground']
Enfield Town,['910GENFLDTN'],['N/A'],['London Overground']
Epping,['940GZZLUEPG'],['N/A'],['Central']
Euston,['940GZZLUEUS'],['HUBEUS'],"['Northern', 'Victoria', 'London Overground']"
Euston Square,['940GZZLUESQ'],['N/A'],"['Metropolitan', 'Circle', 'Hammersmith & City']"
Fairlop,['940GZZLUFLP'],['N/A'],['Central']
Farringdon,"['940GZZLUFCN', '910GFRNDXR']",['HUBZFD'],"['Elizabeth line', 'Metropolitan', 'Circle', 'Hammersmith & City']"
Fieldway,['940GZZCRFLD'],['N/A'],['Tram']
Finchley Central,['940GZZLUFYC'],['N/A'],['Northern']
Finchley Road,['940GZZLUFYR'],['N/A'],"['Jubilee', 'Metropolitan']"
Finchley Road & Frognal,['910GFNCHLYR'],['N/A'],['London Overground']
Finsbury Park,['940GZZLUFPK'],['HUBFPK'],"['Piccadilly', 'Victoria']"
Forest Gate,['910GFRSTGT'],['N/A'],['Elizabeth line']
Forest Hill,['910GFORESTH'],['N/A'],['London Overground']
Fulham Broadway,['940GZZLUFBY'],['N/A'],['District']
Gallions Reach,['940GZZDLGAL'],['N/A'],['DLR']
Gants Hill,['940GZZLUGTH'],['N/A'],['Central']
George Street,['940GZZCRCEN'],['N/A'],['Tram']
Gidea Park,['910GGIDEAPK'],['N/A'],['Elizabeth line']
Gloucester Road,['940GZZLUGTR'],['N/A'],"['District', 'Piccadilly', 'Circle']"
Golders Green,['940GZZLUGGN'],['N/A'],['Northern']
Goldhawk Road,['940GZZLUGHK'],['N/A'],"['Circle', 'Hammersmith & City']"
Goodge Street,['940GZZLUGDG'],['N/A'],['Northern']
Goodmayes,['910GGODMAYS'],['N/A'],['Elizabeth line']
Gospel Oak,['910GGOSPLOK'],['N/A'],['London Overground']
Grange Hill,['940GZZLUGGH'],['N/A'],['Central']
Gravel Hill,['940GZZCRGRA'],['N/A'],['Tram']
